,price
2270,3949.949
2271,3983.8201
2272,4014.9955
2273,3961.7605
2274,4015.0134
2275,3938.2964
2276,4020.8162
2277,4080.9694
2278,4052.8675
2279,3959.7672
2280,3987.6815
2281,4022.7095
2282,4020.8584
2283,4031.7621
2284,4086.6177
2285,4063.9996
2286,4090.5286
2287,4165.6899
2288,4187.1483
2289,4211.7225
2290,4145.6505
2291,4194.4574
2292,4143.2232
2293,4228.2926
2294,4282.0827
2295,4219.2339
2296,4322.8324
2297,4327.9159
2298,4331.902
2299,4277.9555
2300,4354.553
2301,4414.3321
2302,4442.5811
2303,4472.7346
2304,4418.0656
2305,4489.5204
2306,4447.2159
2307,4505.4572
2308,4475.4815
2309,4425.2814
2310,4468.0627
2311,4406.1476
2312,4352.6456
2313,4313.3589
2314,4308.8229
2315,4299.4714
2316,4262.1539
2317,4288.4441
2318,4291.2808
2319,4270.3624
2320,4251.7867
2321,4233.9277
2322,4220.0911
2323,4236.154
2324,4242.2743
2325,4226.4245
2326,4160.6478
2327,4144.3765
2328,4114.8251
2329,4089.4419
2330,4109.6287
2331,4142.1111
2332,4143.666
2333,4149.2071
2334,4130.741
2335,4185.4203
2336,4180.0006
2337,4190.5269
2338,4182.5668
2339,4205.7851
2340,4174.5458
2341,4135.1623
2342,4175.5314
2343,4168.5764
2344,4093.2949
2345,4127.8142
2346,4063.8825
2347,4088.5262
2348,4057.1443
2349,4066.1869
2350,4054.8423
2351,4010.4052
2352,4024.4726
2353,4032.7231
2354,4059.1689
2355,4050.5853
2356,4112.0123
2357,4058.0441
2358,4078.6495
2359,4013.5829
2360,3928.4239
2361,3945.6467
2362,3921.3177
2363,3875.1771
2364,3865.1049
2365,3829.5958
2366,3844.0692
2367,3879.4398
2368,3864.316
2369,3833.3504
2370,3806.5596
2371,3732.0191
2372,3722.8659
2373,3756.4176
2374,3783.316
2375,3822.2428
2376,3865.8258
2377,3827.4658
2378,3746.5793
2379,3753.8903
2380,3727.915
2381,3621.9356
2382,3633.3107
2383,3667.6645
2384,3605.1598
2385,3504.507
2386,3519.8174
2387,3620.3693
2388,3645.0604
2389,3646.7709
2390,3754.5227
2391,3773.6612
2392,3750.7821
2393,3685.8274
2394,3787.7568
2395,3818.1447
2396,3788.926
2397,3860.811
2398,3821.2709
2399,3823.8207
2400,3769.627
2401,3766.0817
2402,3760.2157
2403,3791.5399
2404,3751.2822
2405,3701.902
2406,3766.5702
2407,3836.5598
2408,3921.2954
2409,3886.4034
2410,3907.6375
2411,3929.0063
2412,3956.6722
2413,3953.199
2414,3961.9919
2415,3976.1722
2416,3953.5482
2417,3952.7885
2418,3954.672
2419,3931.2318
2420,3952.7707
2421,3881.2257
2422,3839.0009
2423,3859.2041
2424,3811.6164
2425,3830.5682
2426,3860.9054
2427,3874.9132
2428,3854.2363
2429,3873.9358
2430,3864.8356
2431,3886.2504
2432,3913.4928
2433,3969.5493
2434,3998.5278
2435,4014.7125
2436,4019.8844
2437,4021.7547
2438,4032.2906
2439,4077.8793
2440,4138.8433
2441,4140.1019
2442,4125.5772
2443,4166.8444
2444,4267.6248
2445,4200.5813
2446,4170.1322
2447,4207.4123
2448,4162.0258
2449,4103.8307
2450,4098.3117
2451,4099.8573
2452,4067.5631
2453,4124.0986
2454,4098.8795
2455,4151.247
2456,4146.8547
2457,4125.4087
2458,4086.2237
2459,4039.9623
2460,4130.0632
2461,4118.9669
2462,4106.2136
2463,4100.9897
2464,4040.4571
2465,4058.1298
2466,4068.7331
2467,4119.9919
2468,4126.0183
2469,4131.1525
2470,4103.6419
2471,4030.7387
2472,4035.8433
2473,3991.7959
2474,3962.6426
2475,3999.8803
2476,4011.8444
2477,3958.1962
2478,3971.1585
2479,3962.6625
2480,3948.1573
2481,3993.7849
2482,3985.9928
2483,4035.1564
2484,4023.3028
2485,4015.6973
2486,4013.5926
2487,4009.5573
2488,4045.4538
2489,4059.6227
2490,4089.2932
2491,4084.132
2492,4096.9009
2493,4132.0096
2494,4108.5062
2495,4102.3968
2496,4081.3871
2497,4078.9703
2498,4090.0719
2499,4139.3088
2500,4159.3938
2501,4122.9461
2502,4114.2642
2503,4031.303
2504,3985.1055
2505,3950.2553
2506,3948.0313
2507,3993.2561
2508,4013.4713
2509,4031.0946
2510,4028.1056
2511,4065.439
2512,4017.9358
2513,4005.7823
2514,3987.769
2515,3938.83
2516,4002.5237
2517,3971.7017
2518,3965.5162
2519,3946.2215
2520,3941.0015
2521,3968.2346
2522,3903.7818
2523,3851.4053
2524,3848.4174
2525,3862.0838
2526,3827.7924
2527,3827.1634
2528,3788.5902
2529,3821.6198
2530,3860.5557
2531,3840.4587
2532,3815.4823
2533,3791.0826
2534,3822.4088
2535,3827.3253
2536,3838.1287
2537,3872.7155
2538,3871.7746
2539,3932.2114
2540,3957.0327
2541,3926.094
2542,3909.1044
2543,3833.4436
2544,3811.6872
2545,3836.6086
2546,3836.7305
2547,3816.3345
2548,3853.2919
2549,3888.0328
2550,3895.1945
2551,3857.0304
2552,3831.5955
2553,3841.5591
2554,3853.7955
2555,3864.6013
2556,3855.662
2557,3904.6033
2558,3881.6225
2559,3871.0444
2560,3848.4826
2561,3857.7725
2562,3816.9835
2563,3803.3492
2564,3866.6445
2565,3908.174
2566,3914.2298
2567,3889.7929
2568,4018.8895
2569,4009.1831
2570,3985.6951
2571,3962.1296
2572,4033.7239
2573,4002.9677
2574,3980.0423
2575,3967.3566
2576,3962.8569
2577,3977.9834
2578,3840.8872
2579,3858.3662
2580,3830.8274
2581,3801.1969
2582,3832.4554
2583,3773.225
2584,3748.0675
2585,3751.7736
2586,3711.5403
2587,3703.5136
2588,3911.5485
2589,3743.0534
2590,3803.1191
2591,3786.9261
2592,3778.9129
2593,3812.9873
2594,3839.5779
2595,3808.1
2596,3802.2272
2597,3747.6509
2598,3740.5846
2599,3764.3331
2600,3759.6091
2601,3736.9355
2602,3740.7853
2603,3698.9344
2604,3723.4244
