TRADE_DATE,STOCK_CODE,OPEN,HIGH,LOW,CLOSE,VOL,AMT
20130716,000300,2300.83,2317.848,2281.942,2317.848,65624157.0,62085631.916
20130717,000300,2311.443,2326.925,2281.609,2282.836,67655248.0,63229061.677
20130718,000300,2272.947,2282.435,2241.93,2245.328,57144292.0,51937235.147
20130719,000300,2248.133,2257.916,2188.752,2190.478,70535282.0,66179072.656
20130517,000300,2550.452,2598.706,2547.776,2592.048,81850801.0,83599367.908
20130527,000300,2593.522,2611.972,2589.739,2599.587,64195080.0,66701652.802
20130603,000300,2605.969,2625.936,2596.051,2602.623,59774468.0,63008705.172
20130604,000300,2600.499,2600.499,2556.056,2565.666,66315750.0,63139420.045
20130617,000300,2422.762,2427.532,2394.385,2403.839,50395711.0,51983757.469
20130620,000300,2386.104,2386.104,2320.226,2321.466,55201020.0,52171735.063
20130722,000300,2170.089,2203.058,2159.813,2202.189,53283495.0,48872947.253
20140715,000300,2170.089,2176.272,2165.206,2174.976,71815694.0,64304875.149
20140725,000300,2243.067,2260.89,2239.066,2260.454,98972838.0,81994560.081
20140731,000300,2321.967,2350.551,2316.585,2350.251,110987769.0,93135566.963
20140804,000300,2336.63,2375.62,2332.138,2375.62,116713754.0,101301888.277
20140811,000300,2338.008,2367.004,2337.014,2365.349,91601171.0,82973900.36
20140813,000300,2358.459,2370.513,2335.694,2358.901,110447789.0,94185266.458
20140818,000300,2366.272,2379.804,2361.197,2374.562,104509554.0,90148909.855
20140904,000300,2411.934,2427.297,2404.082,2426.224,111272298.0,108294703.239
20140916,000300,2440.339,2442.924,2386.98,2388.765,186742791.0,147250169.859
20140924,000300,2391.419,2443.978,2387.07,2441.864,142713530.0,120389934.642
20141015,000300,2444.538,2465.498,2431.188,2463.874,135801882.0,114837290.107
20141020,000300,2448.453,2456.621,2441.896,2454.711,91435401.0,84843604.9
20141104,000300,2511.036,2517.46,2498.605,2513.172,218247005.0,155291882.55
20141106,000300,2505.167,2510.985,2482.983,2506.067,149651117.0,118839203.631
20141111,000300,2578.438,2602.373,2532.572,2558.612,323711656.0,265840509.803
20141117,000300,2613.513,2614.086,2565.943,2567.101,158478095.0,147724645.089
20141124,000300,2614.16,2667.671,2602.944,2649.258,279839720.0,264974912.281
20141201,000300,2825.611,2855.332,2808.653,2819.812,365487417.0,338833084.229
20141208,000300,3108.272,3270.881,3075.7,3252.881,484462344.0,515773683.037
20140704,000300,2180.445,2183.798,2174.073,2178.695,52851106.0,47990033.413
20140707,000300,2178.546,2186.202,2171.083,2176.289,50242334.0,47663876.919
20140708,000300,2174.828,2180.778,2163.359,2180.473,50743599.0,46017266.874
20140709,000300,2178.135,2178.51,2148.26,2148.71,62022046.0,58980248.398
20140710,000300,2146.601,2151.774,2139.522,2142.847,55732497.0,50931668.887
20140711,000300,2136.317,2154.735,2134.795,2148.009,61374274.0,51551825.645
20140714,000300,2149.542,2171.902,2145.278,2171.758,66158863.0,60467088.864
20140716,000300,2172.824,2183.248,2166.774,2170.868,81560230.0,61126054.498
20140717,000300,2166.831,2166.932,2147.084,2157.068,59453568.0,46354646.289
20140718,000300,2147.663,2176.325,2145.446,2164.144,65473295.0,53758919.136
20140721,000300,2164.223,2171.94,2158.955,2166.295,54172260.0,47731629.577
20140722,000300,2162.436,2197.592,2162.236,2192.698,78542583.0,66806114.43
20140723,000300,2191.394,2210.282,2190.555,2197.833,84213872.0,69177998.063
20140724,000300,2199.833,2239.815,2199.833,2237.015,119435534.0,99964367.602
20140728,000300,2272.383,2331.472,2272.383,2323.897,179869333.0,145277424.291
20140729,000300,2326.038,2342.77,2316.217,2331.369,134269641.0,112176546.316
20140730,000300,2324.69,2339.038,2316.058,2322.011,123022832.0,103362308.865
20140801,000300,2341.227,2371.5,2328.966,2329.402,126317390.0,106125190.266
20140805,000300,2376.797,2380.774,2353.795,2369.353,111861789.0,97906971.246
20140806,000300,2358.206,2371.667,2334.334,2363.221,116341829.0,96681298.733
20140807,000300,2363.608,2369.204,2326.268,2327.457,116729210.0,94254453.994
20140808,000300,2329.184,2339.27,2319.288,2331.134,86739694.0,72605666.133
20140812,000300,2361.17,2361.17,2344.716,2357.052,91822608.0,82973769.642
20140814,000300,2357.198,2363.18,2334.08,2335.945,97969493.0,84251435.869
20140815,000300,2337.985,2366.902,2333.123,2360.635,93592546.0,81888217.001
20140819,000300,2378.886,2379.474,2358.965,2374.768,115850020.0,102742759.96
20140820,000300,2371.649,2375.475,2360.837,2366.14,101288088.0,91374802.73
20140821,000300,2365.731,2367.46,2333.299,2354.244,100690211.0,92192063.269
20140822,000300,2352.316,2368.457,2350.986,2365.364,89823938.0,85642463.757
20140825,000300,2367.019,2367.606,2338.455,2342.863,97373717.0,85182493.96
20140826,000300,2339.6,2350.391,2317.184,2324.092,93844222.0,83135033.15
20140827,000300,2323.79,2336.737,2322.885,2327.595,67676221.0,62448675.179
20140828,000300,2328.059,2336.363,2309.639,2311.278,70490655.0,66195966.855
20140829,000300,2317.304,2338.774,2313.262,2338.287,63211423.0,58359967.752
20140901,000300,2340.925,2355.552,2338.53,2355.317,77320870.0,73362240.553
20140902,000300,2359.862,2387.655,2349.949,2386.46,114436733.0,106925790.139
20140903,000300,2389.694,2414.26,2389.679,2408.838,129734204.0,123629189.433
20140905,000300,2433.174,2450.634,2427.987,2449.259,133551764.0,123349320.057
20140909,000300,2452.227,2454.893,2437.078,2445.224,118194344.0,107795213.548
20140910,000300,2435.593,2437.081,2422.646,2432.433,109175517.0,97472682.969
20140911,000300,2430.678,2461.473,2417.269,2423.454,132982583.0,127203381.658
20140912,000300,2418.752,2438.358,2412.622,2438.358,109160170.0,96625765.409
20140915,000300,2433.001,2439.254,2418.959,2437.189,122247159.0,112507690.398
20140917,000300,2395.361,2405.371,2379.091,2401.326,125269028.0,98039470.145
20140918,000300,2396.379,2414.946,2389.622,2408.664,115926376.0,92105332.013
20140919,000300,2409.313,2430.149,2402.313,2425.211,101813577.0,88221038.707
20140922,000300,2419.326,2419.326,2374.108,2378.92,102240870.0,88958056.522
20140923,000300,2379.521,2402.482,2379.521,2399.462,84033341.0,75463683.722
20140925,000300,2453.423,2462.668,2429.587,2436.965,138661891.0,119612625.726
20140926,000300,2430.808,2439.649,2420.499,2437.201,100299494.0,87757377.938
20140929,000300,2443.91,2453.665,2435.611,2447.799,123401727.0,111463779.824
20140930,000300,2452.166,2454.885,2444.204,2450.988,115804229.0,101906558.841
20141008,000300,2460.87,2478.383,2445.268,2478.383,121953604.0,116500107.81
20141009,000300,2480.197,2488.113,2461.112,2481.955,137923920.0,120752628.433
20141010,000300,2472.096,2482.136,2457.684,2466.789,147634307.0,121924973.049
20141013,000300,2457.412,2460.389,2430.546,2454.946,131593362.0,112784478.808
20141014,000300,2451.094,2467.904,2436.336,2446.562,127393705.0,106356643.094
20141016,000300,2448.968,2480.3,2441.822,2444.395,158166603.0,128340525.473
20141017,000300,2443.222,2456.105,2410.401,2441.732,132759988.0,112685625.525
20141021,000300,2453.406,2459.255,2432.552,2433.391,96241912.0,86622201.933
20141022,000300,2434.886,2447.467,2417.562,2418.641,88656193.0,82251744.245
20141023,000300,2415.44,2424.662,2392.532,2395.936,103491839.0,86045452.83
20141024,000300,2397.848,2404.993,2385.725,2390.706,74974869.0,65601225.156
20141027,000300,2377.542,2377.542,2361.68,2368.832,73862447.0,65956480.803
20141028,000300,2373.155,2416.766,2373.155,2416.653,101523055.0,90529903.107
20141029,000300,2423.813,2461.268,2415.703,2451.384,158584062.0,134541723.619
20141030,000300,2450.361,2474.376,2443.759,2468.925,189626353.0,139157358.014
20141031,000300,2473.501,2512.189,2466.504,2508.325,239172412.0,181604617.039
20141103,000300,2515.824,2524.172,2502.06,2512.548,205801228.0,151406835.108
20141105,000300,2516.87,2519.399,2499.228,2503.448,190491862.0,146130895.12
20141107,000300,2508.765,2541.549,2489.419,2502.153,208760911.0,176868665.325
20141110,000300,2529.83,2565.73,2514.71,2565.73,226599735.0,187612569.248
20141112,000300,2545.403,2594.318,2539.601,2594.318,184686261.0,157847382.809
20141113,000300,2597.389,2607.519,2567.463,2579.75,219815615.0,192985452.9
20141114,000300,2569.211,2581.932,2557.666,2581.093,165049965.0,145409933.865
20141118,000300,2565.273,2570.211,2534.927,2541.416,142941356.0,124246649.435
20141119,000300,2538.233,2550.5,2531.318,2537.223,122146974.0,113031721.938
20141120,000300,2528.78,2545.473,2522.836,2537.099,106149864.0,98145538.65
20141121,000300,2537.538,2585.362,2530.032,2583.455,151028139.0,143750813.26
20141125,000300,2650.085,2686.063,2643.843,2685.561,222611699.0,206879208.489
20141126,000300,2695.263,2723.36,2690.31,2723.018,243962485.0,239333899.163
20141127,000300,2737.03,2754.49,2718.704,2754.49,265464730.0,261164877.169
20141128,000300,2753.925,2809.543,2740.374,2808.819,375323662.0,330256023.242
20141202,000300,2807.338,2944.506,2804.293,2923.94,361465322.0,341185189.116
20141203,000300,2936.124,3028.225,2912.246,2967.549,466156685.0,464857500.377
20141204,000300,2975.403,3104.89,2968.876,3104.351,426812928.0,433875560.243
20141205,000300,3143.968,3195.798,3011.936,3124.885,524881260.0,554362904.944
20141209,000300,3233.097,3387.827,3074.516,3106.913,632874567.0,702150099.247
20141210,000300,3120.212,3229.047,3058.191,3221.546,425018708.0,477300103.105
20141211,000300,3185.161,3254.424,3158.443,3183.012,367091691.0,392944833.604
20141212,000300,3182.923,3239.447,3167.928,3193.227,301065325.0,337817436.996
20141215,000300,3176.829,3226.221,3143.297,3217.228,290193834.0,326668040.798
20141216,000300,3221.358,3303.402,3207.688,3303.402,358123847.0,425665729.151
20141217,000300,3325.82,3368.194,3275.736,3360.598,448140770.0,527748937.956
20141218,000300,3359.09,3393.711,3322.229,3345.927,355970207.0,416260448.852
20141219,000300,3345.629,3397.183,3280.916,3383.167,411211590.0,435516864.94
20141222,000300,3396.251,3455.207,3357.661,3394.481,549801671.0,537021101.759
